"id","old_findID","objecttype","broadperiod","institution","filename","imagedir"
857250,"SUR-DE6DF2","RIBBON","BRONZE AGE","SUR","DSCF9134.JPG","images/dwilliams/"
856528,"CORN-74E19D","HOARD","BRONZE AGE","CORN","DSCN5274.JPG","images/atyacke/"
856345,"NMGW-609095","PALSTAVE","BRONZE AGE","NMGW","2017142.jpg","images/mknight21/"
847158,"NMS-5E3BC2","TORC","BRONZE AGE","NMS","X_5E3BC2_MBALBA_Torc.jpg","images/jshoemark5/"
846055,"ESS-046731","PENANNULAR RING","BRONZE AGE","ESS","2017T427.jpg","images/slflynn/"
845158,"KENT-897021","UNIDENTIFIED OBJECT","BRONZE AGE","KENT","KENT897021.jpg","images/ucljo/"
842734,"SUSS-5EF5C1","PENANNULAR RING","BRONZE AGE","SUSS","PenRingSUSS5EF5C1.jpg","images/EdwinWood/"
842726,"SUSS-5EA230","PENANNULAR RING","BRONZE AGE","SUSS","PenRingSUSS5EA230.jpg","images/EdwinWood/"
842019,"WMID-C9BDED","PALSTAVE","BRONZE AGE","WMID","wmidc9bded_4.jpg","images/tgilmore/"
842016,"LANCUM-C98FBF","HOARD","BRONZE AGE","LANCUM","DSC_0021.JPG","images/snoon/"
840547,"WMID-2260B2","FLAT AXEHEAD","BRONZE AGE","WMID","wmid2260b2_8.jpg","images/tgilmore/"
839669,"PUBLIC-A8947C","PENANNULAR RING","BRONZE AGE","PUBLIC","PUBLICA8947C.jpg","images/ucljo/"
839466,"LEIC-A3A9AE","BRACELET","BRONZE AGE","LEIC","LEICA3A9AE.JPG","images/wscott/"
834950,"DOR-FF338E","CAPE","BRONZE AGE","DOR","2017T230.jpg","images/meggard1/"
833960,"SOM-81B00C","HOARD","BRONZE AGE","SOM","2017T2053.JPG","images/elburnett/"
833749,"PAS-6DBE56","JEWELLERY","BRONZE AGE","PAS","2016T187b.JPG","images/ianr/"
830606,"DENO-1CEFD2","FLAT AXEHEAD","BRONZE AGE","DENO","DENO1CEFD2.jpg","images/helenglenn3/"
830503,"HAMP-195471","PENANNULAR RING","BRONZE AGE","HAMP","HAMP195471.jpg","images/khindshamp/"
825346,"BERK-E2ED60","PENANNULAR RING","BRONZE AGE","BERK","BERKE2ED60.jpg","images/rod/"
820266,"WMID-FE3C28","RIBBON","BRONZE AGE","WMID","wmidfe3c28.jpg","images/tgilmore/"
816960,"WMID-C4624B","PALSTAVE","BRONZE AGE","WMID","WMIDC4624B_a.jpg","images/tgilmore/"
